solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 80*cm 94*cm 265*cm 265*cm 306*cm 406*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_26  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_26  |188.447322821668*cm 136.914326946381*cm 342.818444221309*cm  |      ordered: zxy -396*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_27  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_27  |155.86321962875*cm 173.102810978893*cm 342.818444221309*cm  |      ordered: zxy -408*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_28  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_28  |116.467150375668*cm 201.725876588022*cm 342.818444221309*cm  |      ordered: zxy -420*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_29  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_29  |71.9809111814485*cm 221.532559293939*cm 342.818444221309*cm  |      ordered: zxy -432*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_30  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_30  |24.3487628682239*cm 231.657212597884*cm 342.818444221309*cm  |      ordered: zxy -444*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_pmt_1  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_1  |-26.1008072053713*cm 248.333934625477*cm 334.999154762787*cm  |       ordered: zxy -96*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_1  |solid_SIDIS_hgc_pmt_1  | solid_SIDIS_hgc_pmt_surface_1  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2210000 
solid_SIDIS_hgc_pmt_backend_1  |solid_SIDIS_hgc_pmt_1  | solid_SIDIS_hgc_pmt_backend_1  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_2  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_2  |-77.1619535000849*cm 237.480584796723*cm 334.999154762787*cm  |      ordered: zxy -108*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_2  |solid_SIDIS_hgc_pmt_2  | solid_SIDIS_hgc_pmt_surface_2  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2220000 
solid_SIDIS_hgc_pmt_backend_2  |solid_SIDIS_hgc_pmt_2  | solid_SIDIS_hgc_pmt_backend_2  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_3  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_3  |-124.850754416392*cm 216.248200790204*cm 334.999154762787*cm  |      ordered: zxy -120*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_3  |solid_SIDIS_hgc_pmt_3  | solid_SIDIS_hgc_pmt_surface_3  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2230000 
solid_SIDIS_hgc_pmt_backend_3  |solid_SIDIS_hgc_pmt_3  | solid_SIDIS_hgc_pmt_backend_3  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_4  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_4  |-167.082981910849*cm 185.564739051151*cm 334.999154762787*cm  |      ordered: zxy -132*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_4  |solid_SIDIS_hgc_pmt_4  | solid_SIDIS_hgc_pmt_surface_4  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2240000 
solid_SIDIS_hgc_pmt_backend_4  |solid_SIDIS_hgc_pmt_4  | solid_SIDIS_hgc_pmt_backend_4  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_5  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_5  |-202.012886222718*cm 146.771213196968*cm 334.999154762787*cm  |      ordered: zxy -144*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_5  |solid_SIDIS_hgc_pmt_5  | solid_SIDIS_hgc_pmt_surface_5  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2250000 
solid_SIDIS_hgc_pmt_backend_5  |solid_SIDIS_hgc_pmt_5  | solid_SIDIS_hgc_pmt_backend_5  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_6  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_6  |-228.113863941497*cm 101.563085326426*cm 334.999154762787*cm  |      ordered: zxy -156*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_6  |solid_SIDIS_hgc_pmt_6  | solid_SIDIS_hgc_pmt_surface_6  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2260000 
solid_SIDIS_hgc_pmt_backend_6  |solid_SIDIS_hgc_pmt_6  | solid_SIDIS_hgc_pmt_backend_6  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_7  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_7  |-244.245177856823*cm 51.916166239733*cm 334.999154762787*cm  |      ordered: zxy -168*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_7  |solid_SIDIS_hgc_pmt_7  | solid_SIDIS_hgc_pmt_surface_7  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2270000 
solid_SIDIS_hgc_pmt_backend_7  |solid_SIDIS_hgc_pmt_7  | solid_SIDIS_hgc_pmt_backend_7  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_8  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_8  |-249.701812615114*cm 0.000263083281142346*cm 334.999154762787*cm  |      ordered: zxy -180*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_8  |solid_SIDIS_hgc_pmt_8  | solid_SIDIS_hgc_pmt_surface_8  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2280000 
solid_SIDIS_hgc_pmt_backend_8  |solid_SIDIS_hgc_pmt_8  | solid_SIDIS_hgc_pmt_backend_8  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_9  | solid_SIDIS_hgc_gas  |         solid_SIDIS_hgc_pmt_9  |-244.245287252966*cm -51.9156515711647*cm 334.999154762787*cm  |      ordered: zxy -192*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_9  |solid_SIDIS_hgc_pmt_9  | solid_SIDIS_hgc_pmt_surface_9  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2290000 
solid_SIDIS_hgc_pmt_backend_9  |solid_SIDIS_hgc_pmt_9  | solid_SIDIS_hgc_pmt_backend_9  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_10  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_10  |-228.114077952651*cm -101.562604649323*cm 334.999154762787*cm  |      ordered: zxy -204*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_10  |solid_SIDIS_hgc_pmt_10  |solid_SIDIS_hgc_pmt_surface_10  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2300000 
solid_SIDIS_hgc_pmt_backend_10  |solid_SIDIS_hgc_pmt_10  |solid_SIDIS_hgc_pmt_backend_10  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_11  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_11  |-202.013195495574*cm -146.770787519212*cm 334.999154762787*cm  |      ordered: zxy -216*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_11  |solid_SIDIS_hgc_pmt_11  |solid_SIDIS_hgc_pmt_surface_11  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2310000 
solid_SIDIS_hgc_pmt_backend_11  |solid_SIDIS_hgc_pmt_11  |solid_SIDIS_hgc_pmt_backend_11  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_12  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_12  |-167.083372928708*cm -185.56438697689*cm 334.999154762787*cm  |      ordered: zxy -228*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_12  |solid_SIDIS_hgc_pmt_12  |solid_SIDIS_hgc_pmt_surface_12  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2320000 
solid_SIDIS_hgc_pmt_backend_12  |solid_SIDIS_hgc_pmt_12  |solid_SIDIS_hgc_pmt_backend_12  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_13  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_13  |-124.85121008991*cm -216.247937706763*cm 334.999154762787*cm  |      ordered: zxy -240*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_13  |solid_SIDIS_hgc_pmt_13  |solid_SIDIS_hgc_pmt_surface_13  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2330000 
solid_SIDIS_hgc_pmt_backend_13  |solid_SIDIS_hgc_pmt_13  |solid_SIDIS_hgc_pmt_backend_13  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_14  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_14  |-77.1624539141541*cm -237.480422202102*cm 334.999154762787*cm  |      ordered: zxy -252*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_14  |solid_SIDIS_hgc_pmt_14  |solid_SIDIS_hgc_pmt_surface_14  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2340000 
solid_SIDIS_hgc_pmt_backend_14  |solid_SIDIS_hgc_pmt_14  |solid_SIDIS_hgc_pmt_backend_14  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_15  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_15  |-26.1013304895111*cm -248.333879625838*cm 334.999154762787*cm  |      ordered: zxy -264*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_15  |solid_SIDIS_hgc_pmt_15  |solid_SIDIS_hgc_pmt_surface_15  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2350000 
solid_SIDIS_hgc_pmt_backend_15  |solid_SIDIS_hgc_pmt_15  |solid_SIDIS_hgc_pmt_backend_15  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_16  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_16  |26.1005455632578*cm -248.333962124883*cm 334.999154762787*cm  |      ordered: zxy -276*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_16  |solid_SIDIS_hgc_pmt_16  |solid_SIDIS_hgc_pmt_surface_16  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2360000 
solid_SIDIS_hgc_pmt_backend_16  |solid_SIDIS_hgc_pmt_16  |solid_SIDIS_hgc_pmt_backend_16  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_17  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_17  |77.1617032929218*cm -237.480666093638*cm 334.999154762787*cm  |      ordered: zxy -288*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_17  |solid_SIDIS_hgc_pmt_17  |solid_SIDIS_hgc_pmt_surface_17  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2370000 
solid_SIDIS_hgc_pmt_backend_17  |solid_SIDIS_hgc_pmt_17  |solid_SIDIS_hgc_pmt_backend_17  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_18  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_18  |124.850526579426*cm -216.248332331565*cm 334.999154762787*cm  |      ordered: zxy -300*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_18  |solid_SIDIS_hgc_pmt_18  |solid_SIDIS_hgc_pmt_surface_18  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2380000 
solid_SIDIS_hgc_pmt_backend_18  |solid_SIDIS_hgc_pmt_18  |solid_SIDIS_hgc_pmt_backend_18  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_19  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_19  |167.082786401641*cm -185.564915087972*cm 334.999154762787*cm  |      ordered: zxy -312*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_19  |solid_SIDIS_hgc_pmt_19  |solid_SIDIS_hgc_pmt_surface_19  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2390000 
solid_SIDIS_hgc_pmt_backend_19  |solid_SIDIS_hgc_pmt_19  |solid_SIDIS_hgc_pmt_backend_19  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_20  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_20  |202.012731585954*cm -146.771426035602*cm 334.999154762787*cm  |      ordered: zxy -324*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_20  |solid_SIDIS_hgc_pmt_20  |solid_SIDIS_hgc_pmt_surface_20  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2400000 
solid_SIDIS_hgc_pmt_backend_20  |solid_SIDIS_hgc_pmt_20  |solid_SIDIS_hgc_pmt_backend_20  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_21  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_pmt_21  |228.11375693554*cm -101.563325664808*cm 334.999154762787*cm  |      ordered: zxy -336*deg 0*deg 65*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_pmt_surface_21  |solid_SIDIS_hgc_pmt_21  |solid_SIDIS_hgc_pmt_surface_21  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2410000 
